Name,Market Cap (US$ Billion),Market Cap (GBP$ Billion)
JPMorgan Chase,390.934,286.319
Industrial and Commercial Bank of China,345.214,252.834
Bank of America,325.331,238.272
Wells Fargo,308.013,225.588
China Construction Bank,257.399,188.519
HSBC Holdings PLC,219.27,160.593
Agricultural Bank of China,203.244,148.856
Citigroup Inc.,203.165,148.798
Bank of China,181.469,132.908
China Merchants Bank,122.616,89.804
Royal Bank of Canada,122.564,89.766
Banco Santander,115.696,84.736
Commonwealth Bank,112.227,82.195
Mitsubishi UFJ Financial Group,111.66,81.78
Toronto-Dominion Bank,108.449,79.428
BNP Paribas,103.258,75.626
Goldman Sachs,100.705,73.756
Sberbank of Russia,99.84,73.123
Morgan Stanley,99.651,72.984
U.S. Bancorp,94.558,69.254
HDFC Bank,88.435,64.77
Itaú Unibanco,86.203,63.135
Westpac,84.56,61.932
Scotiabank,78.947,57.821
ING Group,78.92,57.801
UBS,75.482,55.283
Charles Schwab,74.255,54.384
PNC Financial Services,72.246,52.913
Lloyds Banking Group,71.253,52.186
Sumitomo Mitsui Financial Group,67.328,49.311
Bank of Communications,67.078,49.128
Australia and New Zealand Banking Group,66.448,48.666
Banco Bradesco,64.816,47.471
National Australia Bank,63.794,46.723
Intesa Sanpaolo,62.032,45.432
Banco Bilbao Vizcaya Argentaria,60.678,44.44
Japan Post Bank,60.525,44.328
The Bank of New York Mellon,59.823,43.814
Shanghai Pudong Development Bank,58.796,43.062
Industrial Bank (China),57.388,42.031
Bank of China (Hong Kong),55.449,40.611
Bank of Montreal,53.181,38.95
Crédit Agricole,52.141,38.188
DBS Bank,51.475,37.7
Nordea,51.185,37.488
Capital One,51.107,37.431
NatWest Group,50.49,36.979
Mizuho Financial Group,50.018,36.633
Credit Suisse,48.462,35.493
Postal Savings Bank of China,47.948,35.117
China Minsheng Bank,47.921,35.097
UniCredit,47.777,34.992
China CITIC Bank,47.451,34.753
Hang Seng Bank,46.171,33.816
Société Générale,46.051,33.728
Barclays,45.85,33.58
Canadian Imperial Bank of Commerce,43.544,31.892
Bank Central Asia,43.344,31.745
Truist Financial,41.923,30.704
Oversea-Chinese Banking Corp,41.362,30.293
State Bank of India,40.562,29.708
State Street,39.769,29.127
Deutsche Bank,38.649,28.306
KBC Bank,38.394,28.12
Danske Bank,38.223,27.994
Ping An Bank,37.993,27.826
Standard Chartered,37.319,27.332
United Overseas Bank,35.128,25.728
QNB Group,33.56,24.579
Bank Rakyat,33.081,24.228
